NAME,ADDRESS,SEQ,START,END,TYPE,READWRITE,DEFAULT,IS_REGISTER,GROUP
DRP.QPLL_INIT_CFG,30,0,0,15,attr,rw,,y,GTX2_COMMON
DRP.QPLL_INIT_CFG,31,1,0,7,attr,rw,,y,GTX2_COMMON
DRP.QPLL_LPF,31,0,11,14,attr,rw,,y,GTX2_COMMON
DRP.QPLL_CFG,32,0,0,15,attr,rw,,y,GTX2_COMMON
DRP.QPLL_LOWER_BAND,32,0,6,6,alias,rw,,y,GTX2_COMMON
DRP.QPLL_CFG,33,1,0,10,attr,rw,,y,GTX2_COMMON
DRP.QPLL_REFCLK_DIV,33,0,11,15,attr,rw,,y,GTX2_COMMON
DRP.QPLL_LOCK_CFG,34,0,0,15,attr,rw,,y,GTX2_COMMON
DRP.QPLL_COARSE_FREQ_OVRD,35,0,10,15,attr,rw,,y,GTX2_COMMON
DRP.QPLL_CP,35,0,0,9,attr,rw,,y,GTX2_COMMON
DRP.QPLL_DMONITOR_SEL,36,0,15,15,attr,rw,,y,GTX2_COMMON
DRP.QPLL_FBDIV_MONITOR_EN,36,0,14,14,attr,rw,,y,GTX2_COMMON
DRP.QPLL_CP_MONITOR_EN,36,0,13,13,attr,rw,,y,GTX2_COMMON
DRP.QPLL_COARSE_FREQ_OVRD_EN,36,0,11,11,attr,rw,,y,GTX2_COMMON
DRP.QPLL_FBDIV,36,0,0,9,attr,rw,,y,GTX2_COMMON
DRP.QPLL_FBDIV_RATIO,37,0,6,6,attr,rw,,y,GTX2_COMMON
DRP.QPLL_CLKOUT_CFG,37,0,2,5,attr,rw,,y,GTX2_COMMON
DRP.BIAS_CFG,3E,0,0,15,attr,rw,,y,GTX2_COMMON
DRP.BIAS_CFG,3F,1,0,15,attr,rw,,y,GTX2_COMMON
DRP.BIAS_CFG,40,2,0,15,attr,rw,,y,GTX2_COMMON
DRP.BIAS_CFG,41,3,0,15,attr,rw,,y,GTX2_COMMON
DRP.COMMON_CFG,43,0,0,15,attr,rw,,y,GTX2_COMMON
DRP.COMMON_CFG,44,1,0,15,attr,rw,,y,GTX2_COMMON
PORT.BGBYPASS,200,0,0,0,port,rw,0,y,GTX2_COMMON
PORT.BGMONITOREN,200,0,1,1,port,rw,0,y,GTX2_COMMON
PORT.BGPDB,200,0,2,2,port,rw,0,y,GTX2_COMMON
PORT.QPLLLOCKEN,200,0,3,3,port,rw,0,y,GTX2_COMMON
PORT.QPLLOUTRESET,200,0,4,4,port,rw,0,y,GTX2_COMMON
PORT.QPLLPD,200,0,5,5,port,rw,0,y,GTX2_COMMON
PORT.QPLLRESET,200,0,6,6,port,rw,0,y,GTX2_COMMON
PORT.RCALENB,200,0,7,7,port,rw,0,y,GTX2_COMMON
PORT.QPLLRSVD1,201,0,0,15,port,rw,0,y,GTX2_COMMON
PORT.QPLLREFCLKSEL,202,0,0,2,port,rw,0,y,GTX2_COMMON
PORT.BGRCALOVRD,202,0,3,7,port,rw,0,y,GTX2_COMMON
PORT.QPLLRSVD2,202,0,8,12,port,rw,0,y,GTX2_COMMON
PORT.PMARSVD,203,0,0,7,port,rw,0,y,GTX2_COMMON
PORT.QPLLFBCLKLOST,204,0,0,0,port,r,,y,GTX2_COMMON
PORT.QPLLLOCK,204,0,1,1,port,r,,y,GTX2_COMMON
PORT.QPLLREFCLKLOST,204,0,2,2,port,r,,y,GTX2_COMMON
PORT.REFCLKOUTMONITOR,204,0,3,3,port,r,,y,GTX2_COMMON
PORT.QPLLDMONITOR,204,0,4,11,port,r,,y,GTX2_COMMON
LOGIC.MGT_COORDINATE,300,0,0,15,port,r,,y,GTX2_COMMON
LOGIC.MGT_NUMBER,301,0,0,15,port,r,,y,GTX2_COMMON
LOGIC.QPLLRESET_CTRL,302,0,0,0,logic,rw,,y
LOGIC.QPLL_LOCK,303,0,0,0,logic,rw,,y
LOGIC.QPLLRESET_STAT,303,0,1,1,logic,rw,,y
